rooms,area,gross_rent,net_rent,plz,street,place,build_ren_year,infos,balcony_terrace,pets,elevator,car_spot,minergie,wheelchair_access,new_building,washmachine,dishwasher,url_immoscout
"3,5 Zimmer",60 m²,CHF 1210.—,CHF 1020.—,3422,Alpenweg 2,Alchenflüh,2014,"Das Haus mit sechs Wohnungen liegt etwas zurückversetzt von den befahrenen Strassen umgeben von einer Matte und einem grösseren Garten, ist aber trotzdem in unmittelbarer Nähe vom Bahnhof und Bus.An Interessent:innen mit grünem Daumen können Gartenbeete abgegeben werden (gratis).Es besteht die Möglichkeit einen Parkplatz (+30.-) zu mieten. Weiter gibt es auch die Optionen einen Schopf z.B. für Bikes (+40.-) oder einen kleineren Bastelraum/Büro (+40.-) zu mieten.Wir vermieten an Nichtraucher:Innen.Keller und Estrich.",True,True,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-alchenflueh/7105326
"3,5 Zimmer",87 m²,CHF 1250.—,CHF 1050.—,3177,Kreuzplatz 2,Laupen BE,2007,"Grosse, sorgfältig renovierte und komfortable 3.5-Zimmer-Wohnung.",True,True,False,True,False,False,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-laupen-be/7081967
"4,5 Zimmer",170 m²,CHF 2450.—,No information,3313,Binelweg 8,Büren zum Hof,2020,"Wir vermieten eine grosse 4,5 Zimmerwohnung angrenzend an Landwirtschaftszone mit grossem Sitzplatz und Garten.RBS-Station ist in 8 min, 600m erreichbar.Alle Zimmer mit Parkettboden und Bodenheizung. Grosse Terasse mit Fernsicht auf Berneralpen. Moderne zum Wohn und Esstisch offene Küche mit viel Stauraum.Zwei Badezimmer, ein Gäste-WC.Eigene Waschküche mit Waschturm.Grosses Kellerabteil.Zwei Gargen können je zu 125 CHF dazu gemietet werden.Keine Haustiere erlaubt.",True,False,True,False,False,False,False,True,True,https://www.immoscout24.ch/de/d/duplex--maisonette-wohnung-mieten-bueren-zum-hof/7105352
"3,5 Zimmer",100 m²,CHF 1150.—,CHF 950.—,2720,Le Ténor 24,Tramelan,2022,"Joli appartement rénové avec cuisine bien équipée, grand salon avec terrasse, 2 chambres et salle des bains avec baignoire, cave et grenier.",True,True,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-tramelan/6948939
4 Zimmer,90 m²,CHF 1550.—,CHF 1300.—,3380,Beundenstrasse 6,Wangen an der Aare,2019,"Wunderschäne 4-Zimmer-Wohnung in 2-Familien-Haus im Grünen im 1. OG mit FussbodenheizungGarage mit 46m2 inkl. Bastelraum kann zugemietet werden (CHF 150.00/Monat)Badezimmer inkl. Waschmaschine und Tumbler (2 Jahre alt)In ruhigem Quartier und doch zentral gelegenSchöne Aussicht ins Grüne: Naherholungsgebiete Aare, JuraGrosse, moderne Küche mit Glaskeramik-Kochfeld und GeschirrspülerInklusive Keller- und EstrichabteilGartenmitbenützung möglichVermietung nur an Nichraucher, keine Haustiere",False,False,False,True,False,False,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-wangen-an-der-aare/7105334
"2,5 Zimmer",62 m²,CHF 1040.—,No information,3380,Städtli 10,Wangen an der Aare,No information,"Charmante, helle Dachwohnung mit Lichthof an ruhiger, zentraler Lage im Städtli an der Aare, schöner Blick auf Kirchareal.Schöner Wohnraum (Wohnzimmer, Schlafzimmer) und kleines Zusatzzimmer/geräumiges Reduit (6 m2), Küche, Bad, Waschturm, pflegeleichte Böden",False,False,False,False,False,False,False,True,True,https://www.immoscout24.ch/de/d/dachwohnung-mieten-wangen-an-der-aare/7099601
"4,5 Zimmer",91 m²,CHF 1500.—,CHF 1250.—,4900,Lagerweg 8,Langenthal,2009,"Lage Die gepflegte Überbauung am Stadtrand von Langenthal umfasst drei dreistöckige Mehrfamilienhäuser und ein Hochhaus mit 12 Etagen. Viele Einkaufsmöglichkeiten bietet Ihnen das Stadtzentrum von Langenthal, welches bequem mit dem Bus in ca. 15 Minuten erreichbar ist. In der Nähe des Lagerwegs hat es eine Coop Pronto Tankstelle mit Produkten für den täglichen Bedarf. Mit dem Bus erreichen Sie den Hauptbahnhof Langenthal in nicht mal fünf Minuten. Die Autobahnauffahrt Niederbipp A1 ist in 10 - 15 Fahrminuten entfernt. Der Kindergarten ist nur in wenigen Gehminuten erreichbar. Das Schulzentrum Kreuzfeld mit Ober- und Unterstufe ist ca. 20 Fussminuten entfernt.Ein Rundgang durch die Wohnung Der Eingangsbereich verfügt über praktische Einbauschränke, welche für zusätzlichen Stauraum sorgen. Die offene, moderne Küche ist in elegantem weiss gehalten. Der Wohn-/Essbereich sowie alle Zimmer sind mit schönem Parkett ausgestattet. Auf dem Balkon, mit Blick in die Weite, geniessen Sie schöne Sommerabende.offene und moderne KücheKühlschrank mit sep. Tiefkühlfächerhelle Zimmer, dank den grossen FensternBadezimmer mit BadewanneBalkon mit toller AussichtKellerLift vorhandenDetails Einstellhallenplatz kann für CHF 95.00 mtl. dazu gemietet werden. Für die Kinder hat es einige Spielmöglichkeiten und genügend Rasenfläche vorhanden.Anrufen. Besichtigen. Mieten. Möchten Sie mit Weitsicht wohnen? Wir freuen wir uns auf Ihre Kontaktaufnahme!Julian Cucchiara058 280 34 88julian.cucchiara@helvetia.chAls Mieter von Helvetia profitieren Sie von 50% Rabatt auf Ihre erste Jahresprämie für ausgewählte Helvetia Versicherungsprodukte!Weitere interessante Mietobjekte finden Sie unter: www.helvetia.ch/immobilien",True,True,True,True,False,True,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-langenthal/7050758
"3,5 Zimmer",81 m²,CHF 1435.—,CHF 1200.—,4900,Brauihof 24 A,Langenthal,2020,"Per sofort oder nach Vereinbarung suchen wir für diese tolle Wohnung mit Einstellhallenplatz einen Nachmieter.Küche mit Glaskeramikherd und GeschirrspülmaschineParkett im Wohn-/ Esszimmer, Korridor und SchlafzimmerPlattenboden in Küche und NasszellenBadezimmer mit BadewanneSeparates Gäste-WCEinbauschränkegrosszügiger BalkonKellerabteilDie Wohnung befindet sich an zentralster Lage in Langenthal.Sie erreichen innert 10 Minuten Fussweg den Bahnhof.Einstellplätze können für CHF 130.-/Mt. dazu gemietet werden.Lassen Sie sich überraschen und vereinbaren Sie noch heute einen Besichtigungstermin. Füllen Sie die Kontaktanfrage aus um die Besichtigungsinformationen direkt per E-Mail zu erhalten.Bei den Fotos handelt es sich um ein Musterbeispiel.",False,False,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-langenthal/6722181
"2,5 Zimmer",70 m²,CHF 1150.—,CHF 950.—,3536,Sutten 783,Aeschau,2017,"Wir vermieten ab 15. August 2022 oder nach Vereinbarung eine helle und gemütliche Wohnung mit hohem Ausbaustandard an ruhiger, sonniger und zentraler Lage in Aeschau, Gemeinde Eggiwil. Die Wohnung befindet sich in einem umgebauten Bauernhaus und verfügt über gute ÖV-Anbindung. Die Nähe zur Emme (2 Min.)  ist ein weiterer Vorteil. Die ca. 70m2 grosse Wohnung verfügt über:Moderne Küche mit Glaskeramikkochfeld/Induktionidyllische Terrasse mit Abendsonne und BrunnenBodenheizungParkett im Schlaf- und Wohnbereich sowie Platten im BadezimmerEigener Wäscheturm in der WohnungEigenes Kellerabteil1 Aussenparkplatz und 1 gedeckter Carportplatz vorhanden, Miete Carport CHF 70.-, Parkplatz CHF 30.-Auskünfte und Besichtigung unter Telefon 078 743 96 64",True,True,False,True,False,False,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-aeschau/7104626
"4,5 Zimmer",No information,CHF 1720.—,CHF 1546.—,3600,Mittlere Strasse 12,Thun,2017,"Schöne, grosse Wohnung in Zentrumsnähe, jedochin ruhigem Quartier",True,False,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-thun/7050275
"2,5 Zimmer",55 m²,CHF 1380.—,CHF 1130.—,2533,Chemin des Bourdons 16,Evilard,2016,"Joli 2.5 avec terrasse 15 m2. La construction de l'appartement à été achevée fin 2016 et ce 2.5 est dans un très bon état. L'appartement dispose également d'une lessiverie 11 m2 et d'une cave de 9 m2 qui peuvent aussi êtres utilisés pour autre chose p.e. bricolage.Une place de parc soutteraine Fr. 120.- doit être louée avec l'appartement.Moderne 2.5 Zimmerwohnung mit 15 m2 Terrasse und. Die Wohnung wurde im Herbst 2016 fertiggestellt und ist neuwertig, zur Wohnung gehört ein eigenener Waschraum 11 m2 und ein Kellerabteil 9 m2, beide Nebenräume werden mit einer normalen Türe verschlossen und können anderweitig (z.B. Bastelraum) benutzt werden.Zur Wohnung gehört ein Einstellhallenplatz, der für Fr. 120.- monatlich dazu gemietet werden muss.",True,True,True,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-evilard/7045686
3 Zimmer,No information,CHF 2010.—,CHF 1890.—,3800,Postgasse 9,Interlaken,2022,"Wohnung Erstvermietung mitten in Interlaken.Sehr grosse Designerwohnungenexzellente Bauqualität (höher als Eigentumsstandard)mit besten MaterialienParkett und fugenlose Belägetop Küchen mit Steinabdeckungsehr guter Schallschutzgrosse Fenster, zum ÖffnenMinergie mit kontrollierter LüftungCO2-neutrale Heizungselbstverständlich optimal wärmeisoliertjede Wohnung mit Balkon oder Dachterrassejede Wohnung Dusche/WC plus Gäste WC mit eigener Waschmaschine/TumblerLiftMöchten Sie sich von der Qualität der Wohnungen überzeugen? Zögern Sie nicht uns zu kontaktieren. Gerne führen wir Sie persönlich durch die Bijous.Interlaken Sie lieben die Ungestörtheit in den eigenen vier Wänden aber auch kulturelle Angebote, an denen Sie nach Lust und Laune teilnehmen können, unzählige Ausgangsmöglichkeiten, die Leichtigkeit eines Ferienortes, skifahren, wandern, See und Berge? Das alles auch zu Fuss ab Ihrem neuen Daheim. Das ist ""Interlaken""!MobilitätOb individuell oder mit dem ÖV gelangt man von hier aus einfach und schnell in die Regionen Thun, Bern, Luzern, Zürich und die Skigebiete vom Berneroberland. Auch Fussgängerinnen und Fussgänger und Velofahrerinnen und Velofahrer kommen in interlaken auf ihre Kosten, denn nach einem Spaziergang oder Velotrip auf dem hervorragenden, attraktiven Wegnetz kommt jeder entspannt an.",True,True,True,False,True,True,True,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-interlaken/7037471
"4,5 Zimmer",160 m²,CHF 2410.—,CHF 2190.—,3800,Harderstrasse 42,Interlaken,No information,Interlaken An der ruhigen aber doch zentral gelegenen Harderstrasse vermieten wir per 01.08.2022 oder nach Vereinbarung eine moderne 4.5 Zimmer-Wohnung. Die Wohnung befindet sich im Dachgeschoss eines gepflegten Mehrfamilienhauses und bietet Ihnen folgende Vorzüge:Balkonmodern ausgestattete KücheGlaskeramikherd und Geschirrspülerhochwertiger ParkettbodenBadezimmer mit Badewanne & DuscheGästebadKellerWaschmaschine/TumblerDiverse Einkaufsmöglichkeiten befinden sich direkt in Ihrer Nähe.Haben wir Ihr Interesse geweckt? Gerne können Sie uns für eine Besichtigung kontaktieren.,True,True,True,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-interlaken/5985448
3 Zimmer,No information,CHF 2070.—,CHF 1950.—,3800,Postgasse 9,Interlaken,2022,"Wohnung Erstvermietung mitten in Interlaken.Sehr grosse Designerwohnungenexzellente Bauqualität (höher als Eigentumsstandard)mit besten MaterialienParkett und fugenlose Belägetop Küchen mit Steinabdeckungsehr guter Schallschutzgrosse Fenster, zum ÖffnenMinergie mit kontrollierter LüftungCO2-neutrale Heizungselbstverständlich optimal wärmeisoliertjede Wohnung mit Balkon oder Dachterrassejede Wohnung Dusche/WC plus Gäste WC mit eigener Waschmaschine/TumblerLiftMöchten Sie sich von der Qualität der Wohnungen überzeugen? Zögern Sie nicht uns zu kontaktieren. Gerne führen wir Sie persönlich durch die Bijous.Interlaken Sie lieben die Ungestörtheit in den eigenen vier Wänden aber auch kulturelle Angebote, an denen Sie nach Lust und Laune teilnehmen können, unzählige Ausgangsmöglichkeiten, die Leichtigkeit eines Ferienortes, skifahren, wandern, See und Berge? Das alles auch zu Fuss ab Ihrem neuen Daheim. Das ist ""Interlaken""!MobilitätOb individuell oder mit dem ÖV gelangt man von hier aus einfach und schnell in die Regionen Thun, Bern, Luzern, Zürich und die Skigebiete vom Berneroberland. Auch Fussgängerinnen und Fussgänger und Velofahrerinnen und Velofahrer kommen in interlaken auf ihre Kosten, denn nach einem Spaziergang oder Velotrip auf dem hervorragenden, attraktiven Wegnetz kommt jeder entspannt an.",True,True,True,False,True,True,True,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-interlaken/7037467
3 Zimmer,No information,CHF 2050.—,CHF 1930.—,3800,Postgasse 9,Interlaken,2022,"Wohnung Erstvermietung mitten in Interlaken.Sehr grosse Designerwohnungenexzellente Bauqualität (höher als Eigentumsstandard)mit besten MaterialienParkett und fugenlose Belägetop Küchen mit Steinabdeckungsehr guter Schallschutzgrosse Fenster, zum ÖffnenMinergie mit kontrollierter LüftungCO2-neutrale Heizungselbstverständlich optimal wärmeisoliertjede Wohnung mit Balkon oder Dachterrassejede Wohnung Dusche/WC plus Gäste WC mit eigener Waschmaschine/TumblerLiftMöchten Sie sich von der Qualität der Wohnungen überzeugen? Zögern Sie nicht uns zu kontaktieren. Gerne führen wir Sie persönlich durch die Bijous.Interlaken Sie lieben die Ungestörtheit in den eigenen vier Wänden aber auch kulturelle Angebote, an denen Sie nach Lust und Laune teilnehmen können, unzählige Ausgangsmöglichkeiten, die Leichtigkeit eines Ferienortes, skifahren, wandern, See und Berge? Das alles auch zu Fuss ab Ihrem neuen Daheim. Das ist ""Interlaken""!MobilitätOb individuell oder mit dem ÖV gelangt man von hier aus einfach und schnell in die Regionen Thun, Bern, Luzern, Zürich und die Skigebiete vom Berneroberland. Auch Fussgängerinnen und Fussgänger und Velofahrerinnen und Velofahrer kommen in interlaken auf ihre Kosten, denn nach einem Spaziergang oder Velotrip auf dem hervorragenden, attraktiven Wegnetz kommt jeder entspannt an.",True,True,True,False,True,True,True,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-interlaken/7037468
"3,5 Zimmer",70 m²,CHF 1600.—,CHF 1430.—,2503,Tiefenmattweg 32,Biel/Bienne,2022,"WohnobjektHelle, grossflächige RäumlichkeitenBodenmaterial aus Vinyl-Laminat und KunststeinplattenModerne Küchenzeile mit viel Stauraum inkl. Geschirrspüler und TiefkühlschrankBadezimmer mit DuscheEigener Waschturm (Waschmaschine und Tumbler)Integrierter EinbauschrankBalkonPrivates KellerabteilInformationen zum MietverhältnisMietantritt per sofort oder nach VereinbarungSeparate Vermietung von Parkplätzen (CHF 50.00/mtl.) und Garagen (CHF 130.00/mtl.)Informationen zur Liegenschaft9 Mietparteien3 StockwerkeKein Aufzug vorhandenLadestation für E-BikesZentral gelegenFamilienwohnquartier in 30er-ZoneWünschen Sie einen Besichtigungstermin?Gerne vereinbaren wir mit Ihnen schriftlich oder telefonisch einen Termin.",True,True,False,True,False,False,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7104201
"1,5 Zimmer",30 m²,CHF 1150.—,CHF 1050.—,2503,Tiefenmattweg 32,Biel/Bienne,2022,WohnobjektHelle RäumlichkeitenBodenmaterial aus Vinyl-Laminat und KunststeinplattenModerne Küchenzeile mit viel Stauraum inkl. Geschirrspüler und TiefkühlschrankBadezimmer mit DuscheEinbauschrank vorhandenEigener Waschturm (Waschmaschine und Tumbler)Privates KellerabteilInformationen zum MietverhältnisMietantritt per sofort oder nach VereinbarungSeparate Vermietung von Parkplätzen (CHF 50.00/mtl.) und Garagen (CHF 130.00/mtl.)Informationen zur Liegenschaft9 Mietparteien3 StockwerkeKein Aufzug vorhandenLadestation für E-BikesZentral gelegenFamilienwohnquartier in 30er-ZoneWünschen Sie einen Besichtigungstermin?Gerne vereinbaren wir mit Ihnen schriftlich oder telefonisch einen Termin.,False,True,False,True,False,False,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7104199
"3,5 Zimmer",75 m²,CHF 1650.—,CHF 1480.—,2503,Tiefenmattweg 32,Biel/Bienne,2022,"WohnobjektHelle, grossflächige RäumlichkeitenBodenmaterial aus Vinyl-Laminat und KunststeinplattenModerne Küchenzeile mit viel Stauraum inkl. Geschirrspüler und TiefkühlschrankBadezimmer mit DuscheEigener Waschturm (Waschmaschine und Tumbler)Integrierter EinbauschrankBalkon Richtung SüdseitePrivates KellerabteilInformationen zum MietverhältnisMietantritt per sofort oder nach VereinbarungSeparate Vermietung von Parkplätzen (CHF 50.00/mtl.) und Garagen (CHF 130.00/mtl.)Informationen zur Liegenschaft9 Mietparteien3 StockwerkeKein Aufzug vorhandenLadestation für E-BikesZentral gelegenFamilienwohnquartier in 30er-ZoneWünschen Sie einen Besichtigungstermin?Gerne vereinbaren wir mit Ihnen schriftlich oder telefonisch einen Termin.",True,True,False,True,False,False,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7104188
4 Zimmer,No information,CHF 1050.—,CHF 850.—,2732,Grand-Rue 11,Reconvilier,2019,Dans un magnifique et charmant immeuble au centre de Reconvilier nous louons un appartement spacieu de 4 pièces récemment rénové. Cet appartement a les caractéristiques suivantes:chambre de séjour lumineuse3 chambres à couchercuisine modernesalle de bains/WCbalcon grandcompartiment de caveà deux pas de la gareLes places de stationnement peuvent être louées séparément.Les photos sont d'un type d'appartement similaire.Avons-nous éveillé votre intérêt? Avec plaisir nous attendons votre contact pour que nous puissions vous montrer l’appartement.,True,True,False,True,False,False,False,False,False,https://www.immoscout24.ch/de/d/wohnung-mieten-reconvilier/7019527
"4,5 Zimmer",90 m²,CHF 1700.—,CHF 1400.—,3076,Schützenhausstrasse 56,Worb,2002,"Hoher AubaustandartISDN-Anschlüsse in allen ZimmernSatellitenanschlüsseBad mit Dusche und BadewanneBöden: Fliessen, Parkett, LaminatEigener BoilerErdsondenheizungKellerabteil mit NaturbodenGrosszügiger UmschwungGartengrillNichtraucherwohnung",True,False,False,True,False,True,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-worb/7104002
"2,5 Zimmer",56 m²,CHF 1130.—,CHF 980.—,3312,Bruchbachweg 24,Fraubrunnen,No information,"Die sehr helle Wohnung ist nach Süden ausgerichtet mit schöner Weitsicht in einen Park mit Biotop. Ruhige Lage. 2 Min. vom RBS-Bahnhof mit alle 30 Min. Verbindung nach Bern (25 Min.) und Solothurn (14. Min.). Busverbindung nach Burgdorf.Mit Lift. Die 2.5 Zimmerwohnung (56 m2) ist in renoviertem Zustand. Nasszelle mit Bad, Lavabo und WC. Küche mit Glaskeramikherd, Backofen und Abwaschmaschine. Gemeinsame Waschküche 4 Parteien, Tumbler, Waschmaschine und Trockenraum mit Secomat. Balkon (6.8 m2). Estrich direkt aus Wohnung zugänglich. Tiefgaragenplatz möglich, Fr. 100.-/Monat.",True,True,True,False,False,True,False,False,True,https://www.immoscout24.ch/de/d/wohnung-mieten-fraubrunnen/6707883
8 Zimmer,250 m²,CHF 3250.—,CHF 2750.—,2532,Kapellenweg,Magglingen/Macolin,2017,"A louer au minimum 6 mois (réduction de loyer à discuter si location de 9 mois)Possibilité de louer 1 ou 2 voitures avec la maisonMaison individuelle de charme, très lumineuse, meublée et récemment rénovée avec beaucoup de goût (ancienne maison villageoise - origine 1900/1930)Magnifique vue sur les Alpes250 m2 sur 3 niveaux,  4 chambres à coucher, 2 bureaux, salon, bibliothèque, très grande cuisine / salle à manger, véranda (non isolée), 3 salles d'eau, dressing indépendant, un ou deux bureaux, cuisine d'appoint, buanderie, cave2 terrasses (dont 1 terrasse au 2ème étage avec vue grandiose sur les Alpes), 2 balcons, grand jardin avec pergolaEquipement TV (incl. connexion et abonnement), hifi, internet, système audio connecté Sonos, système de chauffage connecté et réglable pour chaque pièces, système d'alarme, placards, lave-linge & séchoir, 2 fourneaux à boisEnvironnement rural, situation tranquille, espace de détente (forêts, nature) et de loisirs à proximité (certaines installations du OFSPO à disposition: p.ex pistes de ski de fond en hiver, stade d'athlétisme, pump track), petite épicerie du village (3 minutes à pieds)Pour 6 personnes max., familles avec enfants bienvenues, inapproprié pour animaux, fumer est interdit dans l'appartement.Mindestens 6 Monate zu vermieten (Mietminderung zu diskutieren, wenn 9 Monate vermietet wird).Es besteht die Möglichkeit, 1 oder 2 Autos mit dem Haus zu mieten.Charmantes, sehr helles, möbliertes und kürzlich sehr geschmackvoll renoviertes Einfamilienhaus (altes Dorfhaus - Ursprung 1900/1930).Wunderschöner Blick auf die Alpen250 m2 auf 3 Etagen, 4 Schlafzimmer, 2 Büros, Wohnzimmer, Bibliothek, sehr grosse Küche / Esszimmer, Veranda (nicht isoliert), 3 Badezimmer, separates Ankleidezimmer, ein oder zwei Büros, Zusatzküche, Waschküche, Keller.2 Terrassen (davon 1 Terrasse im 2. Stock mit grandiosem Blick auf die Alpen), 2 Balkone, großer Garten mit Pergola.Ausstattung TV (inkl. Anschluss und Abo), Hifi, Internet, Sonos Connected Audio System, angeschlossenes und regulierbares Heizsystem für jeden Raum, Alarmanlage, Einbauschränke, Waschmaschine & Trockner, 2 Holzherde.Ländliche Umgebung, ruhige Lage, Erholungsraum (Wald, Natur) und Freizeitmöglichkeiten in der Nähe (einige BASPO-Anlagen stehen zur Verfügung: z.B. Langlaufloipen im Winter, Leichtathletikstadion, Pumptrack), kleiner Dorfladen (3 Minuten zu Fuss).Für max. 6 Personen, Familien mit Kindern willkommen, Haustiere ungeeignet, Rauchen in der Wohnung nicht erlaubt.Übersetzt mit DeepL",True,False,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/einfamilienhaus-mieten-magglingen-macolin/7094972
"4,5 Zimmer",100 m²,CHF 2300.—,No information,2553,Rainstrasse 34,Safnern,2022,"Das Einfamilienhaus mit Alpenbilck hat Ihnen auf drei Stockwerken einiges zu bieten:Erdgeschoss:grosszügiger Eingangsbereich vor dem HausEingang / GarderobeHoppyraumWaschküche, auf Wunsch mit TumblerKellerraumWohngeschossHelles Wohn-/Esszimmer mit Zugang zum grossen Balkon mit AlpenblickCheminéeGrosse, offene Küche mit Zugang zum GartensitzplatzWCDachgeschoss:3 Schlafzimmer, eines mit grossem BalkonBadezimmer mit Dusche und WanneNormale Haustiere sind erlaubt.Bevorzugt wird eine Familie mit Kind(er).Vermietung ab September oder nach Vereinbarung.Die Einstellhalle wird mit vier Parteien geteilt.Gas, Strom, Wasser und IT-Anschlüsse gehen zu Lasten des Mieters.Serviceabonnement Heizung, Grundgebühren Kehricht und die allgemeinen Kosten der Überbauung (Hauswart, Grünabfuhr, Strom) gehen zu Lasten des Vermieters.",True,True,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/einfamilienhaus-mieten-safnern/7103492
4.5-Zimmer,No information,CHF 1990.—,CHF 1690.—,2502,Pianostrasse 31,Biel/Bienne,2012,"Wir vermieten an der Pianostrasse 31 in Biel, in ruhigem, familiären Quartier moderne 4.5-Zimmer-Wohnung:Terrasse und BalkonZimmer mit Parkettböden, Wohnbereich Plattenbodenzwei Badezimmer (Dusche und Badewanne)eigene WM/TU in der WohnungKüche mit Bar, GeschirrspülerMietzins CHF 1'690.-- + HK/NK CHF 300.--Einstellplatz für CHF 170.--/mtl. verfügbarNous louons à la Pianostrasse 31 à Bienne, dans un quartier calme et familial, un appartement moderne de 4.5 pièces :terrasse et balconchambres avec parquet, salon avec carrelagedeux salles de bains (douche et baignoire)propre machine à laver/Tumbler dans l'appartementcuisine avec bar, lave-vaisselleLoyer CHF 1'690.-- + charges et frais de chauffage CHF 300.--place de parking disponible pour CHF 170.--/mois",True,True,True,False,False,False,False,True,True,https://www.immoscout24.ch/de/d/wohnung-mieten-biel-bienne/7083985
"6,5 Zimmer",180 m²,CHF 2750.—,No information,2542,Beundenweg 5,Pieterlen,2016,"Zu vermieten nach Vereinbarung wunderschönes, freistehendes 6.5-Zimmer-Einfamilienhaus mit sehr viel Cachet in einem reinen Wohnquartier am Südhang in Pieterlen. Das Haus ist sehr sonnig und kinderfreundlich gelegen.Das Gebäude wurde 2016 vollständig renoviert und besteht aus:Obergeschoss: Vorplatz Treppe, Korridor, 4 Zimmer (15, 13, 12, 9 m2), Dusche/WC, 2 Reduits, Estrich.Erdgeschoss: Eingang Treppe, Korridor, 2 Zimmer (33, 19 m2), Küche, Bad/WC, 2 Balkone.Untergeschoss: Vorplatz Treppe, Keller, Garage, Waschküche, Heizung.Zum Wohnhaus gehört eine sehr schöne und gepflegte Gartenanlage mit mehreren Sitzplätzen und einem Aussenparkplatz.Die Heiz- und Nebenkosten sind direkt vom Mieter zu tragen.Auf Wunsch besteht die Möglichkeit einen langfristigen Mietvertrag abzuschliessen.",True,False,False,True,False,False,False,False,True,https://www.immoscout24.ch/de/d/einfamilienhaus-mieten-pieterlen/4120184
"3,5 Zimmer",80 m²,CHF 2000.—,CHF 1700.—,3658,Kirchweg 20,Merligen,2017,"Fester Wohnsitz in der Gemeinde Sigriswil, in Merligen.        Wohn-/Esszimmer mit Schwedenofen                                      Moderne Küche, mit Kombi Steamer + Kombi-Mikrowelle                  Bad Dampfdusche und Closomat                                                            Büro- und TV-Zimmer mit Einbauschränken                                          Schlafzimmer mit Einbauschrank                                                            PP in Einstellhalle kann dazu gemietet werden Fr. 100.00 p.Mt.",True,False,True,False,False,False,False,False,True,https://www.immoscout24.ch/de/d/dachwohnung-mieten-merligen/7099764
3 Zimmer,80 m²,CHF 2040.—,CHF 1800.—,3097,Gebhartstrasse 17,Liebefeld,2021,"Helle, neu renovierte Dachwohnung mit kleiner Terrasse.Die Wohnung befindet sich in ruhiger Umgebung. Öffentliche Verkehrsmittel, Einkaufsmöglichkeiten und Schulen in unmittelbarer Nähe.Die Liegenschaft vefügt über keinen Lift. Haustiere nicht erlaubt.",True,False,False,False,False,False,False,False,False,https://www.immoscout24.ch/de/d/dachwohnung-mieten-liebefeld/7103385
3 Zimmer,118 m²,CHF 2900.—,CHF 2650.—,3004,Fährstrasse 2,Bern,2018,"An der Fährstrasse 2 in 3004 Bern vermieten wir ab 1. Juli 2022 oder nach Vereinbarung eine moderne und stilvolle3  Zimmer-Duplex-Wohnung im 1. OG/DG linksmit hohem Ausbaustandard.Ideal für urban orientierte Singles/Paare mit gehobenen AnsprüchenRepräsentativer EingangsbereichGrosszügiger, heller Wohn- und EssbereichOffene, topmoderne KücheGäste WCBalkon südseitig, 10.5 m2Grosser Schlafbereich im DG mit offen gestalteter Nasszone (Dusche, WC, freistehende Badewanne)Hochwertiger Eichenparkett in sämtlichen RäumlichkeitenPlisseestoren von Silent Gliss als Sicht- und SonnenschutzGartenanteil zur MitbenutzungEigener Waschturm im KellerGrosser Gewölbekeller (Carnozet) zur MitbenutzungKellerabteilPraktische Remise zur MitbenutzungBGF 118 m2Nettomiete Fr. 2'650.- + HK/NK Fr. 250.-1 oder 2 gedeckte Parkplätze können dazu gemietet werden (+ Fr. 100.- oder + Fr. 200.- )Genügend Besucherparkplätze vorhandenÖV und Aare in unmittelbarer NäheWir freuen uns auf Ihre Kontaktaufnahme und stehen Ihnen für weitere Auskünfte zur Verfügung. Gerne organisieren wir für Sie einen unverbindlichen Besichtigungstermin.Dieses Objekt können Sie per Videoanruf besichtigen.",True,True,False,True,False,False,False,True,True,https://www.immoscout24.ch/de/d/duplex--maisonette-wohnung-mieten-bern/7103331
